Food,Energy,Protein,Total Fat,Saturated Fat,Carbohydrates,Sodium
Original Recipe Chicken Drum,178.0,15.4,9.8,4.4,7.0,0.0
Original Recipe Keel,396.0,31.7,23.1,10.4,15.4,1.0
Original Recipe Rib,415.0,30.7,24.9,11.4,16.9,1.2
Original Recipe Thigh,343.0,23.3,21.5,8.9,14.1,0.9
Original Recipe Wing,259.0,20.9,15.8,6.8,8.6,0.0
Hot & Crispy Chicken Drumstick,212.0,17.0,13.0,5.0,8.0,312.0
Hot & Crispy Chicken Keel,390.0,30.0,24.0,10.0,14.0,733.0
Hot & Crispy Chicken Rib,220.0,17.0,16.0,7.0,10.0,540.0
Hot & Crispy Chicken Thigh,399.0,26.0,27.0,11.0,13.0,601.0
Hot & Crispy Chicken Wing,190.0,12.0,13.0,5.0,6.0,271.0
Drumstick,149.0,16.0,9.0,3.0,2.0,256.0
Cheesy Zinger Stacker,1106.0,54.0,73.0,25.0,58.0,2397.0
Zinger,633.0,28.0,37.0,12.0,47.0,1168.0
Original Recipe Burger,517.0,22.9,29.3,7.8,52.7,1302.0
Original Recipe Stacker,896.0,44.1,54.0,18.2,71.1,2662.0
BBQ Cheese Zinger,521.0,26.0,25.4,9.8,49.2,1651.0
BBQ Tenders Burger,496.0,27.5,24.6,6.7,53.8,1071.0
Pockett Bandito,622.0,26.0,36.0,11.0,49.0,1363.0
Original Recipe Rice Bowl,440.0,13.0,16.0,7.0,62.0,1139.0
Curry Rice Bowl,515.0,14.0,19.0,10.0,72.0,1511.0
Famous Bowl,356.0,11.0,10.0,4.0,55.0,1850.0
Hot & Crispy Tenders (3 pcs),304.0,31.0,14.0,7.0,14.0,753.0
Hot & Crispy Tenders (5 pcs),507.0,51.0,23.0,11.0,23.0,1254.0
Nuggets (6 pcs),239.0,14.0,14.0,6.0,14.0,269.0
Nuggets (20 pcs),796.0,48.0,47.0,21.0,45.0,896.0
Popcorn Chicken,446.0,21.0,28.0,11.0,27.0,1169.0
Whipped Potato (reg),51.0,2.0,0.3,0.1,10.0,332.0
Whipped Potato (med),102.0,4.0,0.6,0.2,21.0,664.0
Coleslaw (reg),98.0,1.0,7.0,1.0,8.0,39.0
Coleslaw (med),197.0,2.0,14.0,3.0,15.0,78.0
French Fries (reg),242.0,4.0,8.0,2.0,38.0,601.0
French Fries (med),343.0,5.0,12.0,3.0,54.0,853.0
French Fries (lrg),367.0,6.0,12.0,3.0,58.0,912.0
Cheese Fries,592.0,8.0,36.0,7.0,61.0,1438.0
KFC Froyo - Natural Cone,107.0,0.7,1.0,0.7,24.0,77.0
KFC Froyo - Natural Cup,118.0,0.5,1.0,0.8,27.0,89.0
Portugese Egg Tart (1pc),166.0,2.5,10.8,5.9,14.6,32.4
Mushroom O.R. Twister,348.4,13.92,14.89,4.72,39.67,1071.0
Pancakes Platter,588.0,21.0,23.5,9.6,67.5,1253.0
Hearty O.R. Platter,516.0,35.6,22.5,9.5,42.9,1302.0
Waffle & Chicken Platter,610.0,38.0,29.5,12.2,48.1,1504.0
Waffle & Saute Mushroom Platter,476.45,27.1,24.9,8.1,37.6,1253.0
Original Recipe Riser & Egg Burger,532.0,31.1,25.2,10.0,45.7,1424.0
Original Recipe Riser Burger,461.0,24.0,20.6,8.1,45.4,1284.0
KFChicken Burger,416.0,18.5,18.3,7.1,34.6,853.0
Original Recipe Porridge,221.0,11.0,6.0,3.0,31.0,788.0
Original Recipe Platter,556.0,26.0,24.0,10.0,55.0,1518.0
American Twister,461.0,14.0,23.0,9.0,51.0,1129.0
Hash Brown,102.0,1.0,5.0,2.0,12.0,481.0
Coca-Cola® Original Taste Less Sugar (reg),153.0,0.0,0.0,0.0,38.3,10.2
1.5L Coca-Cola® Original Taste Less Sugar,19.0,0.0,0.0,0.0,4.6,2.0
Coca-Cola® Zero Sugar (reg),0.0,0.0,0.0,0.0,0.0,21.0
Coca-Cola® Zero Sugar (med),0.0,0.0,0.0,0.0,0.0,30.6
1.5L Coca-Cola® Zero Sugar,0.0,0.0,0.0,0.0,0.0,6.0
Fanta® Grape (reg),66.5,0.0,0.0,0.0,16.1,14.0
Fanta® Grape (med)),96.9,0.0,0.0,0.0,23.5,20.4
Heaven & Earth® Iced Lemon Tea (reg),150.5,0.0,0.0,0.0,37.5,10.5
Heaven & Earth® Iced Lemon Tea (med),219.3,0.0,0.0,0.0,54.6,15.3
Sprite® (reg),66.5,0.0,0.0,0.0,16.1,38.5
Sprite® (med),96.9,0.0,0.0,0.0,23.5,56.1
SJORA Mango Peach,113.0,0.9,0.0,0.0,27.0,21.0
SJORA Mango Peach (med),154.0,1.0,0.0,0.0,37.0,29.0
Iced Milo (reg),188.0,5.0,5.0,2.0,31.0,93.0
Iced Milo (med),254.0,7.0,6.0,3.0,42.0,126.0
Hot Milo,128.0,2.0,4.0,2.0,21.0,60.0
Magnolia Fresh Milk,132.0,6.0,8.0,4.0,10.0,88.0
Mineral Water,0.0,0.0,0.0,0.0,0.0,3.0
