Energy,Protein,Total Fat,Saturated Fat,Carbohydrates,Sodium
507.00,32.00,25.00,13.00,3.00,1265.00
717.00,50.00,40.00,20.00,4.00,1698.00
303.00,16.00,12.00,6.00,2.00,860.00
443.00,27.00,22.00,12.00,3.00,1360.00
541.00,23.00,28.00,6.00,4.00,1269.00
833.00,38.00,46.00,9.00,6.00,2161.00
332.00,15.00,13.00,5.00,2.00,562.00
466.00,24.00,20.00,8.00,3.00,756.00
253.00,14.00,8.00,4.00,2.00,690.00
391.00,15.00,18.00,3.00,2.00,751.00
558.00,28.00,28.00,11.00,4.00,1321.00
739.00,26.00,42.00,7.00,4.00,1422.00
689.00,39.00,41.00,8.00,3.00,1895.00
2068.00,117.00,122.00,25.10,10.30,5685.00
273.00,14.00,16.00,2.00,1.00,506.00
409.00,21.00,24.00,3.00,2.00,759.00
910.00,46.00,54.00,7.00,4.00,1686.00
302.00,17.00,20.00,4.00,2.00,682.00
603.00,35.00,41.00,8.00,3.00,1363.00
361.00,23.00,18.00,5.00,3.00,992.00
173.00,20.00,7.00,2.00,1.00,533.00
21.00,1.00,0.00,0.00,1.00,10.00
1730.00,101.00,109.00,20.00,6.00,3698.00
865.00,50.00,54.00,10.00,3.00,1849.00
386.00,25.00,14.00,7.00,3.00,820.00
204.00,10.00,12.00,1.00,1.00,378.00
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00
496.00,27.00,22.00,6.00,5.00,971.00
805.00,31.00,29.00,10.00,6.00,1123.00
557.00,9.00,18.00,6.00,3.00,685.00
619.00,16.00,21.00,7.00,4.00,974.00
430.00,6.00,15.00,5.00,2.00,501.00
0.00,0.00,0.00,0.00,0.00,0.00
472.00,22.00,24.00,9.00,5.00,1353.00
430.00,17.00,21.00,8.00,4.00,1201.00
289.00,18.00,11.00,5.00,3.00,574.00
407.00,16.00,21.00,6.00,4.00,847.00
258.00,16.00,9.00,4.00,4.00,653.00
481.00,23.00,26.00,7.00,4.00,921.00
337.00,23.00,14.00,6.00,4.00,732.00
355.00,21.00,12.00,5.20,5.00,740.00
434.00,28.00,17.00,6.80,5.00,820.00
366.00,23.00,12.00,5.20,5.00,670.00
482.00,22.00,21.00,5.90,5.00,930.00
403.00,15.00,13.00,3.50,2.00,570.00
396.00,21.00,13.00,6.40,5.00,810.00
421.00,16.00,13.00,3.50,3.00,580.00
483.00,19.00,18.00,3.50,6.00,860.00
426.00,25.00,18.00,5.20,4.00,1060.00
256.00,23.00,7.00,1.90,4.00,610.00
30.00,0.00,0.00,0.00,1.00,17.00
315.00,4.00,17.00,5.00,4.00,193.00
384.00,5.00,20.00,6.00,5.00,236.00
512.00,6.00,27.00,8.00,6.00,314.00
66.00,2.00,1.00,0.00,2.00,67.00
100.00,4.00,1.00,0.00,3.00,101.00
231.00,1.00,12.00,6.00,1.00,185.00
149.00,1.00,8.00,1.00,1.00,351.00
133.00,3.00,4.00,2.00,0.00,56.00
281.00,3.00,16.00,10.00,1.00,65.00
314.00,6.00,10.00,7.00,1.00,168.00
261.00,5.00,6.00,3.00,0.00,84.00
368.00,7.00,13.00,6.00,1.00,221.00
493.00,9.00,17.00,10.00,1.00,314.00
440.00,7.00,13.00,6.00,1.00,230.00
387.00,10.00,10.00,5.00,1.00,207.00
381.00,9.00,9.00,5.00,0.00,134.00
378.00,9.00,10.00,5.00,0.00,132.00
0.00,0.00,0.00,0.00,0.00,0.00
109.00,0.00,0.00,0.00,0.00,7.00
152.00,0.00,0.00,0.00,0.00,10.00
221.00,0.00,0.00,0.00,0.00,15.00
0.00,0.00,0.00,0.00,0.00,29.00
0.00,0.00,0.00,0.00,0.00,40.00
0.00,0.00,0.00,0.00,0.00,58.00
80.00,0.00,0.00,0.00,0.00,47.00
112.00,0.00,0.00,0.00,0.00,65.00
163.00,0.00,0.00,0.00,0.00,95.00
227.00,7.00,6.00,3.00,2.00,132.00
322.00,10.00,9.00,4.00,3.00,187.00
62.00,0.00,0.00,0.00,0.00,22.00
86.00,0.00,0.00,0.00,0.00,30.00
66.00,0.00,0.00,0.00,0.00,11.00
91.00,0.00,0.00,0.00,0.00,15.00
193.00,2.00,0.00,0.00,0.00,0.00
145.00,2.00,0.00,0.00,0.00,0.00
96.00,7.00,3.00,2.00,0.00,98.00
192.00,5.00,4.00,2.00,2.00,153.00
4.00,1.00,0.00,0.00,0.00,3.00
14.00,3.00,0.00,0.00,0.00,2.00
166.00,9.00,9.00,7.00,0.00,0.00
182.00,10.00,10.00,7.00,0.00,0.00
237.00,7.00,8.00,6.00,0.00,21.00
456.00,3.00,20.00,10.00,2.00,92.00
582.00,9.00,26.00,18.00,1.00,343.00
462.00,3.00,20.00,5.00,0.00,95.00
573.00,9.00,26.00,17.00,0.00,390.00
