Energy (kcal),Protein (g),Total Fat (g),Saturated fat (g),Carbohydr ate (g),Sodium (mg),Energy,Protein,Total Fat,Saturated Fat,Carbohydrates,Sodium
49.0,49.0,49.0,49.0,49.0,49.0,,,,,,
329.32551020408164,16.198367346938777,16.54061224489796,6.859591836734694,32.427959183673465,836.804081632653,,,,,,
251.82325566970266,13.142296753063302,14.932536680037998,5.502219991051972,21.476171192315277,672.4334815179317,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
107.0,2.5,6.0,2.0,14.0,88.0,,,,,,
304.0,15.4,14.0,7.0,34.6,953.0,,,,,,
516.0,26.0,24.6,10.0,49.0,1284.0,,,,,,
1106.0,54.0,73.0,25.0,72.0,2662.0,,,,,,
,,,,,,98.0,98.0,98.0,98.0,98.0,98.0
,,,,,,356.0816326530612,14.714285714285714,15.755102040816327,5.0836734693877546,2.176530612244898,593.7857142857143
,,,,,,310.95949527293703,18.291454824251375,19.10041896474147,4.874522316063835,2.0927858915123214,804.3136954065601
,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,154.75,2.25,1.5,0.25,0.0,59.75
,,,,,,334.5,9.0,12.5,5.0,2.0,347.0
,,,,,,465.0,22.0,20.75,7.0,4.0,840.25
,,,,,,2068.0,117.0,122.0,25.1,10.3,5685.0
